KUNDENR;CVRNR;KUNDETYPE;REGION;BUTIKSNAVN;KUNDENAVN;ADRESSE;LAND;POSTNR;BYNAVN;TLFNR;EDINR;EMAIL
885229-5;31332842;65;1;STATOIL HERFØLGE BFI;KEVIN SKJOLD PEDERSEN;VORDINGBORGVEJ 111;DK;4681;HERFØLGE;56274305;5790000238484;KSPE@STATOILFUELRETAIL.COM
885231-1;31625475;65;1;STATOIL GRÅSTEN BFI;STATOIL GRÅSTEN APS.;SLOTSGADE 26;DK;6300;GRÅSTEN;74651748;5790000238637;STATOILGRAASTEN@MAIL.DK
885400-2;25373790;65;2;EXTRA  TUNE BFI;PEMAS APS PETER BERNHOLM;BØGEVEJ 1 TUNE;DK;4030;TUNE;46138105;5790000238996;BOGEVEJ-TUNE@BFIEXTRA.DK
885401-0;21687480;65;2;EXTRA KBH SV  BFI;EXTRA VASBYGADE 2M HANDEL APS;VASBYGADE 18;DK;2450;KØBENHAVN SV;41997417;5790000239009;VASBYGADE-KBH@BFIEXTRA.DK
885402-8;21687480;65;2;EXTRA GLOSTRUP  BFI;EXTRA GLOSTRUP 2M HANDEL APS;HOVEDVEJEN 141;DK;2600;GLOSTRUP;41997415;5790000239016;HOVEDVEJEN-GLOSTRUP@BFIEXTRA.DK
885403-6;18129582;65;2;EXTRA GRENAA   BFI;TORBEN CHRISTENSEN;HAVNEVEJ 243;DK;8500;GRENAA;86325566;5790000239023;HAVNEVEJ-GRENAA@BFIEXTRA.DK
885404-4;21771775;65;2;EXTRA STIGE BFI ODENSE N;TANKEN STIGE APS.;STIGEVEJ 236 -  STIGE;DK;5270;ODENSE N;66188465;5790000239214;STIGEVEJ-ODENSE@BFIEXTRA.DK
885406-9;21092371;65;2;EXTRA KBH.Ø  BFI;IDRIS IDO ATICI;JAGTVEJ 213-215;DK;2100;KØBENHAVN Ø;32150726;5790000239412;JAGTVEJ-KBH@BFIEXTRA.DK
885407-7;35053182;65;2;EXTRA  GLOSTRUP  BFI;EXTRA FABRIKSPARKEN APS;FABRIKSPARKEN 18;DK;2600;GLOSTRUP;43967738;5790000239436;FABRIKSPARKEN-GLOSTRUP@BFIEXTRA.DK
885409-3;21608033;65;2;EXTRA BALLERUP  BFI;FREDDY RASMUSSEN;TEMPOVEJ 1;DK;2750;BALLERUP;44663197;5790000239450;TEMPOVEJ-BALLERUP@BFIEXTRA.DK
885413-5;14365281;65;2;EXTRA ALLERØD BFI;BJARNE OG DORTE ROSSÉ;SOLVANG 2;DK;3450;ALLERØD;48141995;5790000239528;SOLVANG-ALLEROD@BFIEXTRA.DK
885415-0;28239025;65;2;EXTRA KLEMENSKER BFI;YVONNE & JACOB DAM;SCT. KLEMENSGADE 3;DK;3782;KLEMENSKER;56966311;5790000239542;HYDROTEXACO@DLGNET.DK
885419-2;20037040;65;2;EXTRA  STENLILLE BFI;TONNY JENSEN;HOVEDGADEN 79;DK;4295;STENLILLE;57804142;5790000239580;HOVEDGADEN-STENLILLE@BFIEXTRA.DK
885421-8;30699343;65;2;EXTRA FÅREVEJLE BFI;THOLO APS;ADELERS ALLÉ 142;DK;4540;FÅREVEJLE;59620004;5790000239610;ADELERSALLE-FAAREVEJLE@BFIEXTRA.DK
885423-4;25608240;65;2;EXTRA FENSMARK BFI;JØRGEN PEDERSEN;NÆSTVEDVEJ 43 A, FENSMARK;DK;4684;HOLMEGAARD;55546728;5790000239634;NAESTVEDVEJ-HOLMEGAARD@BFIEXTRA.DK
885424-2;26476429;65;2;EXTRA HASLEV BFI;GAMLE BY 1 APS;GAMLE BY 1;DK;4690;HASLEV;56311388;5790000239641;GAMLEBY-HASLEV@BFIEXTRA.DK
885425-9;20952970;65;3;GO ON BUTIKKEN  -  BFI;HOLM BILER APS;NYKØBINGVEJ 7;DK;4840;NØRRE ALSLEV;54434173;5790000239658;HOLM1978@HOTMAIL.COM
885426-7;27092438;65;2;EXTRA NAKSKOV BFI;J.C.  FUEL APS.;LØJTOFTEVEJ 24;DK;4900;NAKSKOV;54922340;5790000239665;LOJTOFTEVEJ-NAKSKOV@BFIEXTRA.DK
885427-5;15029579;65;2;EXTRA ODENSE  C -BFI;MICHAEL BANG;ROERSVEJ 33;DK;5000;ODENSE C;66138455;5790000239689;ROERSVEJ-ODENSE@BFIEXTRA.DK
885428-3;30978552;65;2;EXTRA ODENSE NØ BFI;RAMAZAN CELIK;ÅSUMVEJ 39;DK;5240;ODENSE NØ;66143634;5790000239696;AASUMVEJ-ODENSE@BFIEXTRA.DK
885432-5;32137067;65;2;EXTRA VEJEN BFI;V / RITA & PREBEN PETERSEN;VESTERMARKSVEJ 2;DK;6600;VEJEN;75361129;5790000239733;VESTERMARKSVEJ-VEJEN@BFIEXTRA.DK
885433-3;12867344;65;2;EXTRA RØDDING BFI;JELS AUTOVÆRKSTED APS;HADERSLEVVEJ 59, JELS;DK;6630;RØDDING;74552158;5790000239740;HADERSLEVVEJ-RODDING@BFIEXTRA.DK
885434-1;15756039;65;2;EXTRA  RØMØ BFI;KNUD RASMUSSEN;VESTERHAVSVEJ 15, NR. TVISMARK;DK;6792;RØMØ;74755328;5790000239764;VESTERHAVSVEJ-ROMO@BFIEXTRA.DK
885435-8;12229194;65;2;EXTRA RINGKØBING BFI;ERLING BRANDT;HERNINGVEJ 82;DK;6950;RINGKØBING;97320301;5790000239771;VK@HYDROAUTOCENTER.DK
885436-6;73714915;65;3;F24  FREDERICIA BFI;PREBEN KEMPF PEDERSEN;EGESKOVVEJ 140;DK;7000;FREDERICIA;75925921;5790000239788;EGESKOVVEJ-FREDERICIA@BFIEXTRA.DK
885439-0;44048728;65;2;EXTRA BFI HERNING;HARLY JØRGENSEN;POULSGADE 2-4;DK;7400;HERNING;97214022;5790000239818;POULSGADE-HERNING@BFIEXTRA.DK
885440-8;17645277;65;2;EXTRA VILDBJERG BFI;MONA JOELSGAARD LAURSEN;VESTERGADE 35;DK;7480;VILDBJERG;97131777;5790000239825;VESTERGADE-VILDBJERG@BFIEXTRA.DK
885443-2;26011000;65;2;EXTRA HØJBJERG BFI;JØRGEN SØRENSEN;ROSENVANGS ALLE 189 A;DK;8270;HØJBJERG;86271045;5790000239863;ROSENVANGSALLE-HOJBJERG@BFIEXTRA.DK
885445-7;27046738;65;2;EXTRA THEM BFI;BEJER-ANDERSEN APS;SILKEBORGVEJ 2;DK;8653;THEM;86847065;5790000239887;SILKEBORGVEJ-THEM@BFIEXTRA.DK
885446-5;84319112;65;2;EXTRA  RY  BFI;RY AUTO-COMPAGNIET APS;BRUNHØJVEJ 2;DK;8680;RY;86891022;5790000239894;BRUNHOJVEJ-RY@BFIEXTRA.DK
885449-9;18805278;65;2;EXTRA  SÆBY BFI;STEN AGERVIG;ROSENVEJ 33;DK;9300;SÆBY;98463252;5790000239979;ROSENVEJ-SAEBY@BFIEXTRA.DK
885450-7;33153961;65;2;EXTRA AALESTRUP BFI;YX  HVAM APS.;HANNERUPVEJ 17, HVAM;DK;9620;AALESTRUP;98648170;5790000239986;HANNERUPVEJ-AALESTRUP@BFIEXTRA.DK
885451-5;15303883;65;2;EXTRA LØGSTØT BFI;JAN KRISTENSEN;SØNDERPORT 23;DK;9670;LØGSTØR;98671480;5790000239993;SONDERPORT-LOGSTOR@BFIEXTRA.DK
885453-1;13710082;65;2;EXTRA  HIRTSHALS BFI;JACOBIL V/JACOB FYNBO;KÆRVEJ 2;DK;9850;HIRTSHALS;98941554;5790000240074;KAERVEJ-HIRTSHALS@BFIEXTRA.DK
885454-9;26332788;65;2;KVIX  BFI EXTRA THISTED;CLAUS SØRENSEN;ØSTERBAKKEN 12;DK;7700;THISTED;97922977;5790000240333;CLAUS@KVIX.DK
885456-4;26398223;65;2;EXTRA BFI VÆRLØSE;CARSTEN FALKENGAARD;TIBBERUP ALLÉ 67-69;DK;3500;VÆRLØSE;44987813;5790000240371;TIBBERUP-VAERLOSE@BFIEXTRA.DK
885457-2;33812728;65;2;EXTRA VALLØBY BFI;BO BIRK PEDERSEN;KIRKEHØJEN 2, VALLØBY;DK;4600;KØGE;56267362;5790000240401;KIRKEHOJEN-VALLO@BFIEXTRA.DK
885460-6;33282605;65;2;TANK KAI DIGE BACH-EKSTRA;MORTEN HANSEN;KLAUSDALSBROVEJ 493;DK;2730;HERLEV;44532211;5790000244270;TANK@KAIDIGEBACH.DK
885461-4;19045692;65;3;OK PLUS BFI ODENSE S;SHAHID Y KHAN;FANGELVEJ 74;DK;5260;ODENSE S;65961866;5790000244294;SKHAN_DK@HOTMAIL.COM
885462-2;31475929;65;2;HVID STATION - BFI;SLW VIBORG APS - F. WEICHERT;ØSTERGADE 24;DK;7850;STOHOLM JYLL;97541078;5790000244607;FRANK@WEICHERT.DK
885463-0;34491143;65;2;EXTRA ÅRHUS C BFI;GUNALAN PALARASAH;SPANIEN 63;DK;8000;ÅRHUS C;86196800;5790000247035;AARHUS-SPANIEN@BFIEXTRA.DK
885465-5;18308207;65;4;BLADCENTRALEN-BFI EXTRA;ARNE HANSEN;SMEDELUNDSGADE 6;DK;4300;HOLBÆK;59430718;5790000247387;ARNE@BLADCENTRALEN.DK
885233-7;25687795;65;4;EXTRA COMPLET BFI-NAKSKOV;CHRISTEN OG CAMILLA  BOSS;AXELTORV 13;DK;4900;NAKSKOV;54926020;5790000269723;COMPLET@YOUMAIL.DK
885466-3;34273944;65;4;EXTRA FUGLEBJERG BFI;TRINE DYRLUND;SANDVEDVEJ 3;DK;4250;FUGLEBJERG;55454929;5790000269792;TRINEDYRLUND@GMAIL.COM
885469-7;17020900;65;4;KIOSK BIEN BFI EXTRA;MICHAEL LARSEN;CITY 2  -  BUTIK 250;DK;2630;TAASTRUP;43520036;5790000270040;KIOSKBIEN@MAIL.TELE.DK
885234-5;34879257;65;2;BFI EXTRA X-KIOSK AARS;MAJBRIT HALDRUP;VESTRE BOULEVARD 6;DK;9600;AARS;22334799;5790000270149;XKIOSK@LIVE.DK
885235-2;14643133;65;2;BFI EXTRA TJELE;TORBEN GREGERSEN;RANDERSEVEJ 34;DK;8830;TJELE;22334799;5790000270200;RANDERSVEJ-TJELE@BFIEXTRA.DK
885467-1;28201478;65;3;BYENS KIOSK - BFI KIOSK;SATAR MOHEBI;PRÆSTEGÅRDSVEJ 8;DK;6534;AGERSKOV;74833733;5790000298822;REX_SNIFER@YAHOO.COM
885470-5;44716658;65;2;EXTRA  ØSTER HURUP BFI;GOÓN ØSTER HURUP / IB ANDERSEN;KYSTVEJEN 10 - ØSTER HURUP;DK;9560;HADSUND;98584457;5790000608225;CHARLOTTE2232@HOTMAIL.COM
885471-3;19749606;65;4;BFI EXTRA KIOSK BIEN;BFI EXTRA KIOSK BIEN A/S;SLOTSAKADERNE 21;DK;3400;HILLERØD;48262736;5790000608324;MADS@KIOSKBIEN.DK
885472-1;21464449;65;2;BFI EXTRA SKÅRUP FYN;INAM DAR;NYBORGVEJ 438;DK;5881;SKÅRUP FYN;62231120;5790000609123;INAMRDAR@HOTMAIL.COM
885474-7;18252333;65;4;BFI EXTRA ODENSE;KIKKENDRUP NÆRBUT B. LARSEN;ÆRTEBJERGGÅRDEN 1;DK;5270;ODENSE N;98584457;5790000661121;BRITTA.LARSEN@LIVE.DK
885475-4;32338127;65;4;BFI EXTRA SILKEBORG;NØRRESKOV BAKKE KIOSKGRILL APS;NØRRESKOV BAKKE 21;DK;8600;SILKEBORG;86820500;5790000661268;LOTTE@JOSIASSEN.EU
885476-2;10247705;65;2;EXTRA STATOIL BFI;MOGEN FOLDAGER;HADSUNDVEJ 35;DK;9575;TERNDRUP;98335001;5790000662272;MOGENS.FOLDAGER@STATOILFUELRETAIL.COM
885477-0;26103118;65;2;EXTRA TUREBY TANKEN  BFI;TUREBY TANKEN APS.;VORDINGBORGVEJ 336;DK;4682;TUREBY;56283605;5790000662555;LENA@TUREBYTANKEN.DK
885478-8;21332178;65;3;COMA IDESTRUP BFI;COMA IDESTRUP V/HENRIK JENSEN;MØLLEVEJ 21;DK;4872;IDESTRUP;54148044;5790000662593;COMA-IDESTRUP@MAIL.DK
885479-6;21332178;65;3;COMA HORREBY  BFI;COMA IDESTRUP V/HENRIK JENSEN;NYKØBINGVEJ 177 - HORREBY;DK;4800;NYKØBING F;54447135;5790000662616;COMA-IDESTRUP@MAIL.DK
885183-4;38313568;65;1;STATOIL SERVICENTER  BFI;STEN ØSTERGÅRD;BØSBROVEJ 92;DK;8940;RANDERS SV;86425938;5790001258092;STATOIL@POST.TELE.DK
885180-0;20832487;65;1;STATOIL SERVICENTER;POUL ERIK JENSEN - BFI;AALBORGVEJ 241, ÅLEGÅRDS MARK;DK;9690;FJERRITSLEV;98211280;5790001403577;POJE@STATOILFUELRETAIL.COM
885184-2;57918314;65;1;STATOIL SERVICENTER  BFI;HOLGER WOLLESEN APS;HOVEDGADEN 1, HELLEVAD;DK;6230;RØDEKRO;74669144;5790001403829;INFO@HOLGER-WOLLESEN.DK
852465-4;32121926;66;0;KRAMINITZE NÆRKØB;BENT MOGENSEN;KRAMNITZEVEJ 45;DK;4970;RØDBY;54946090;5790000006830;BENTMOGENSEN@HOTMAIL.COM
814595-5;30831772;86;7;SHELL-DODO;TOP UP APS.;GL. SKJOLDAGERVEJ  2;DK;6510;GRAM;74821331;5790000005062;SHELLIGRAM@GMAIL.COM
871158-2;31945178;86;5;SHELL SDR.FASANVEJ;RBA CLUSTER 8 APS.;SDR.FASANVEJ 90;DK;2500;VALBY;36303311;5790000005468;1158@RBA-DK.DK
811088-4;32159060;86;7;SHELL-DODO KALUNDBORG;MORTEN WEISE APS.;SCT.JØRGENSBJERG 42;DK;4400;KALUNDBORG;59511770;5790000006977;SHELL-KALUNDBORG@WEISE.NU
814322-4;32241050;86;7;SHELL-DODO;MORTEN HAUGE DALBY MADSEN;ØSTERGADE 38;DK;6933;KIBÆK;97191710;5790000011421;MAIL@SHELL-KIBAEK.DK
881086-3;32286461;86;7;SHELL DODO HORNBÆK; KAF BENZINDRIFT APS.;NDR.STRANDVEJ 359;DK;3100;HORNBÆK;49700022;5790000011476;SHELL.HORNBAEK@PC.DK
814531-0;32373917;86;7;SHELL-DODO;MICHAEL REDDER;ENGHAVEVEJ 25;DK;6950;RINGKØBING;97324649;5790000011483;M.REDDER@YOUMAIL.DK
871552-6;29134227;86;5;SHELL BRØNDERSLEV;RONILLA RETAIL APS.;HJØRRINGVEJ 3;DK;9700;BRØNDERSLEV;98820977;5790000011667;1552@RBA-DK.DK
871626-8;32554342;86;5;SHELL RINGVEJEN HJØRRING;RONILLA  RETAIL APS.;HEERFORDTSVEJ 2, RINGVEJEN;DK;9800;HJØRRING;98921711;5790000011674;1626@RBA-DK.DK
871799-3;32554342;86;5;SHELL FREDERIKSHAVN;RONILLA RETAIL APS.;DANMARKSGADE 15;DK;9900;FREDERIKSHAVN;98427699;5790000011698;1799@RBA-DK.DK
874357-7;32554342;86;5;SHELL SÆBY;RONILLA RETAIL APS.;ÅLBORGVEJ 60;DK;9300;SÆBY;98461010;5790000011704;4357@RBA-DK.DK
861067-7;31623197;86;5;SHELL FARUM;TCB RETAIL APS;FREDERIKSBORGVEJ 31;DK;3520;FARUM;44950630;5790000012152;1067@RBA-DK.DK
861079-2;31623197;86;5;SHELL HELSINGØR;TCB RETAIL APS;KONGEVEJEN 115;DK;3000;HELSINGØR;49220146;5790000012169;1079@RBA-DK.DK
871450-3;31771021;86;5;SHELL SYDBANEGADE;SKYDT-NIELSEN APS.;SYDBANEGADE 11;DK;6000;KOLDING;75522417;5790000042470;1450@RBA-DK.DK
871581-5;31771021;86;5;SHELL HADERSLEVVEJ;SKYDT-NILELSEN APS.;HADERSLEVVEJ 189;DK;6000;KOLDING;75542187;5790000042760;1581@RBA-DK.DK
871808-2;31771021;86;5;SHELL VEJLEVEJ KOLDING;SKYDT-NIELSEN APS;VEJLEVEJ 168;DK;6000;KOLDING;75542180;5790000043514;1808@RBA-DK.DK
871830-6;31771021;86;5;SHELL VEJLEVEJ FREDERICIA;SKYDT-NIELSEN APS.;VEJLEVEJ 26;DK;7000;FREDERICIA;75934244;5790000048090;1830@RBA-DK.DK
871462-8;31771021;86;5;SHELL MIDDELFART;SKYDT-NIELSEN APS;HESSGADE/SØNDERGADE;DK;5500;MIDDELFART;64412264;5790000049363;1462@RBA-DK.DK
814603-7;32673090;86;7;SHELL GLAMSBJERG DODO;OLE CHRISTIANSEN;SØNDERGADE 36;DK;5620;GLAMSBJERG;64721731;5790000231782;SHELLGLAMSBJERG@MAIL.DK
861032-1;32677150;86;5;SHELL KILDEGÅRDS PLADS;LEFRE ENERGI APS.;KILDEGÅRDSVEJ 105;DK;2900;HELLERUP;39655333;5790000232222;1032@RBA-DK.DK
861049-5;32677150;86;5;SHELL NÆRUM;LEFRE ENERGI APS;SKODSBORGVEJ 313;DK;2850;NÆRUM;45805340;5790000232239;1049@RBA-DK.DK
861054-5;32677150;86;5;SHELL STRANDVEJEN;LEFRE ENERGI APS;STRANDVEJEN 40;DK;2900;HELLERUP;39294600;5790000232260;1054@RBA-DK.DK
871115-2;32677150;86;5;SHELL USSERØD;LEFRE ENERGI APS;USSERØD KONGEVEJ 79;DK;2970;HØRSHOLM;45865112;5790000232277;1115@RBA-DK.DK
871162-4;32677150;86;5;SHELL HOLTE;LEFRE ENERGI APS.;KONGEVEJEN 94;DK;2840;HOLTE;45424090;5790000232284;1162@RBA-DK.DK
871168-1;32677150;86;5;SHELL BIRKERØD;LEFRE ENERGI APS.;KONGEVEJEN 43-47;DK;3460;BIRKERØD;45811661;5790000232291;1168@RBA-DK.DK
871536-9;32677150;86;5;SHELL BRÅDEBÆK;LEFRE ENERGI APS.;BRÅDEBÆKSVEJ 2;DK;2970;HØRSHOLM;45860903;5790000232314;1536@RBA-DK.DK
871574-0;32670741;86;5;SHELL IKAST;PER RETAIL APS;ØSTERGADE 50-52;DK;7430;IKAST;97152250;5790000233502;1574@RBA-DK.DK
871725-8;32670741;86;5;SHELL HERNING;PER RETAIL APS;SILKEBORGVEJ 7-11;DK;7400;HERNING;97120761;5790000233540;1725@RBA-DK.DK
871742-3;32670741;86;5;SHELL BREGNEVEJ;PER RETAIL APS;BREGNEVEJ 5-7;DK;8600;SILKEBORG;86824660;5790000233571;1742@RBA-DK.DK
871743-1;32670741;86;5;SHELL ØSTERGADE;PER RETAIL APS;ØSTERGADE 17;DK;8600;SILKEBORG;86820650;5790000233625;1743@RBA-DK.DK
881576-3;12513836;86;7;SHELL SKAGEN DODO;JACOB YDE;HØJENSVEJ 60;DK;9990;SKAGEN;98446588;5790000234097;SHELLNYKOBING@MAIL.DK
815862-8;32811175;86;7;SHELL-DODO BILLUND;LAILA BUSBORG;GRINDSTEDVEJ 10;DK;7190;BILLUND;75331557;5790000235599;BUTIK@SHELL-BILLUND.DK
871598-9;33162936;86;5;SHELL EBELTOFT;ENERGY4YOU APS.;VIBÆK STRANDVEJ 6;DK;8400;EBELTOFT;86341639;5790000236923;1598@RBA-DK.DK
871721-7;33162936;86;5;SHELL GRENÅ;ENERGY4YOU APS.;ØSTERBROGADE 10;DK;8500;GRENAA;86321150;5790000236947;1721@RBA-DK.DK
871786-0;33162936;86;5;SHELL SILKEBORGVEJ;ENERGY4YOU APS.;SILKEBORGVEJ 4;DK;8000;ÅRHUS C;86130777;5790000236961;1786@RBA-DK.DK
871791-0;33162936;86;5;SHELL RANDERSVEJ;ENERGY4YOU APS.;RANDERSVEJ 164;DK;8200;ÅRHUS N;86167970;5790000236978;1791@RBA-DK.DK
871817-3;33162936;86;5;SHELL GRENÅVEJ;ENERGY4YOU APS.;GRENÅVEJ 150;DK;8240;RISSKOV;86177808;5790000236992;1817@RBA-DK.DK
815876-8;13799202;86;7;SHELL DODO;ERNA SKJOLD PEDERSEN;ØSTERGADE 23;DK;6840;OKSBØL;75271070;5790000238712;ERNA@SKJOLDS-AUTO.DK
883021-8;20285086;86;7;SHELL TUNE;TCB TUNE APS.;TUNE PARKVEJ 7, TUNE;DK;4030;TUNE;46138253;5790000240210;3021@TNSHELL.DK
841533-3;31623197;86;5;SHELL HOLD-AN VEJ;TCB RETAIL APS.;HOLD-AN VEJ 2;DK;2750;BALLERUP;44971151;5790000240913;1533@RBA-DK.DK
841024-3;32677150;86;5;SHELL HJORTESPRINGVEJ;LEFRE ENERGI APS.;HJORTESPRINGVEJ 115;DK;2730;HERLEV;44921202;5790000240944;1024@RBA-DK.DK
841048-2;32677150;86;5;SHELL RING 4B;LEFRE ENERGI APS;RINGVEJ 4 NR 4;DK;2730;HERLEV;44986388;5790000240982;1048@RBA-DK.DK
841133-2;32677150;86;5;SHELL MILEPARKEN;LEFRE ENERGI APS.;MILEPARKEN 37;DK;2730;HERLEV;44915975;5790000241057;1133@RBA-DK.DK
841187-8;32677150;86;5;SHELL BAGSVÆRD HOVEDGADE;LEFRE ENERGI APS.;BAGSVÆRD HOVEDGADE 94;DK;2880;BAGSVÆRD;44982681;5790000241064;1187@RBA-DK.DK
841633-1;32677150;86;5;SHELL NYBROVEJ;LEFRE ENERGI APS.;NYBROVEJ 190-192;DK;2800;KONGENS LYNGBY;45870218;5790000241088;1633@RBA-DK.DK
844609-8;10735696;86;7;SHELL DODO GRÅSTEN;BENNY GISSELMANN;KONGEVEJ 86;DK;6300;GRÅSTEN;74650170;5790000241217;SHELL.GRAASTEN@MAIL.DK
844608-0;30255771;86;7;SHELL DODO  ASSENS;ANNA WINTHER;FÅBORGVEJ 14;DK;5610;ASSENS;64714443;5790000241231;SHELL.ASSENS@MAIL.DK
871081-6;34059748;86;5;SHELL HERFØLGE;NIELSEN RETAIL APS.;VORDINGBORGVEJ 125 A;DK;4681;HERFØLGE;56274418;5790000241255;1081@RBA-DK.DK
871147-5;34059748;86;5;SHELL LILLEVANGSVEJ;NIELSEN RETAIL APS.;LILLEVANGSVEJ 50;DK;2670;GREVE;43905800;5790000241286;1147@RBA-DK.DK
871203-6;34059748;86;5;SHELL KARLSLUNDE;NIELSEN RETAIL APS.;KARLSLUNDE RASTEPLADS 2;DK;2690;KARLSLUNDE;46154010;5790000241316;1203@RBA-DK.DK
871215-0;34059748;86;5;SHELL KØGE;NEILSEN RETAIL APS.;KØBENHAVNSVEJ 110;DK;4600;KØGE;56661811;5790000241415;1215@RBA-DK.DK
871525-2;34059748;86;5;SHELL ISHØJ;NIELSEN RETAIL APS.;ISHØJ PARKVEJ 2;DK;2635;ISHØJ;43733402;5790000241439;1525@RBA-DK.DK
871712-6;33162936;86;5;SHELL HØJBJERG;ENERGY4YOU APS.;ROSENVANGS ALLE 218;DK;8270;HØJBJERG;86272775;5790000241934;1712@RBA-DK.DK
871796-9;33162936;86;5;SHELL TILST;ENERGY4YOU APS.;AGERØVEJ 10  -  TILST;DK;8381;TILST;86243807;5790000241941;1796@RBA-DK.DK
871813-2;33162936;86;5;SHELL SKANDERBORGVEJ;ENERGY4YOU APS.;SKANDERBORGVEJ 123;DK;8260;VIBY J;86140091;5790000242023;1813@RBA-DK.DK
871832-2;33162936;86;5;SHELL STILLING;ENERGY4YOU APS.;ØRSTEDVEJEN 6, STILLING;DK;8660;SKANDERBORG;86570086;5790000242030;1832@RBA-DK.DK
871793-6;33162936;86;5;SHELL ALLEGADE;ENERGY4YOU APS.;ALLEGADE 63;DK;8700;HORSENS;75629985;5790000242207;1793@RBA-DK.DK
871075-8;31170826;86;5;SHELL ROSKILDEVEJ;ENERGY2GO;ROSKILDEVEJ 335;DK;2640;HEDEHUSENE;46560749;5790000244041;1075@RBA-DK.DK
871102-0;31170826;86;5;SHELL OSTED;ENERGY2GO;HOVEDVEJEN 141, OSTED;DK;4320;LEJRE;46497098;5790000244287;1102@RBA-DK.DK
861111-3;31151503;86;5;SHELL DRAGØR;SEIDE RETAIL APS;MØLLEVEJ 10-12;DK;2791;DRAGØR;32533876;5790000245017;1111@RBA-DK.DK
861046-1;31151503;86;5;SHELL SALTVÆRKSVEJ;SEIDE RETAIL APS;SALTVÆRKSVEJ 62;DK;2770;KASTRUP;32510344;5790000245390;1046@RBA-DK.DK
871061-8;31170826;86;5;SHELL TAASTRUP;ENERGY2GO;TÅSTRUP HOVEDGADE 25 -29;DK;2630;TAASTRUP;43994673;5790000245444;1061@RBA-DK.DK
891809-6;29397783;86;5;SHELL HOBROVEJ;T J RETAIL APS;HOBROVEJ 48;DK;9000;AALBORG;98125218;5790000245680;1809@RBA-DK.DK
880914-7;20715782;86;0;INDOOR MARKETING (SHELL);ATT. MICHAEL HEUER;CIKORIEVEJ 24;DK;5220;ODENSE SØ;66100148;5790000257799;MH@INDOOR.DK
844610-6;10303176;86;7;SHELL DODO  LANGESKOV;JENS MORTENSEN;ODENSEVEJ 35;DK;5550;LANGESKOV;65381255;5790000269365;SHELL@ODENSEVEJ.DK
844611-4;16073946;86;7;SHELL  DODO;ANS MOTOR CO. APS./PAW NIELSEN;SØGADE 2;DK;8643;ANS BY;86879045;5790000269389;STATOILIANS@MAIL.DK
844612-2;21285498;86;7;SHELL DODO TIKØB;NIELS LØVENGREN;HORNBÆKVEJ 449;DK;3080;TIKØB;49758135;5790000269624;SHELLTIKOB@MAIL.DK
814593-0;34271577;86;7;SHELL VILDBJERG  DODO;JESPER ØRUM;ØSTERGADE 30;DK;7480;VILDBJERG;97131166;5790000269648;SHELL@VILDBJERG.DK
803109-8;30567935;86;5;SHELL EXPRESS  SKALBORG;INORDVATIV A/S;HOBROVEJ 454;DK;9200;AALBORG SV;99333333;5790000269747;FAKTURA@INORDVATIV.DK
871105-3;31170826;86;5;SHELL SDR.RINGVEJ;ENERGY2GO;SDR. RINGVEJ 26;DK;4000;ROSKILDE;46351537;5790000606399;1105@RBA-DK.DK
861039-6;34059748;86;5;SHELL PARK ALLE;NIELSEN RETAIL APS.;PARK ALLÉ 238-240;DK;2605;BRØNDBY;43965347;5790000608492;1039@RBA-DK.DK
861042-0;34059748;86;5;SHELL ROSKILDEVEJ;NIELSEN RETAIL APS.;ROSKILDEVEJ 18 B;DK;2620;ALBERTSLUND;43620417;5790000608546;1042@RBA-DK.DK
861518-9;34059748;86;5;SHELL BRØNDBY;NIELSEN RETAIL APS.;ROSKILDEVEJ 453;DK;2605;BRØNDBY;36756633;5790000608621;1518@RBA-DK.DK
811760-8;31475244;86;7;SHELL - DODO;JANNIK RASMUSSEN;HAMMERUM HOVEDGADE 132;DK;7400;HERNING;97116592;5790000608720;JANNIK_RASMUSSEN@HOTMAIL.COM
861069-3;31623197;86;5;SHELL FREDERIKSVÆRK;TCB RETAIL APS;HILLERØDVEJ 34;DK;3300;FREDERIKSVÆRK;47721413;5790000608812;1069@RBA-DK.DK
861206-1;31623197;86;5;SHELL FREDERIKSSUND;TCB RETAIL APS;ASKELUNDSVEJ 1;DK;3600;FREDERIKSSUND;47311945;5790000608843;1206@RBA-DK.DK
841141-5;31151503;86;5;SHELL VIGERSLEVVEJ;SEIDE RETAIL APS.;VIGERSLEVVEJ 229;DK;2500;VALBY;36463106;5790000608973;1141@RBA-DK.DK
861192-3;31151503;86;5;SHELL DAMHUSSØEN;SEIDE RETAIL APS.;ROSKILDEVEJ 176;DK;2500;VALBY;38711857;5790000608980;1192@RBA-DK.DK
841014-4;32677150;86;5;SHELL BRØNSHØJ;LEFRE NERGI APS.;FREDERIKSSUNDSVEJ 174;DK;2700;BRØNSHØJ;38287837;5790000608997;1014@RBA-DK.DK
841126-6;32677150;86;5;SHELL KAMPMANNSGADE;LEFRE ENERGI APS.;KAMPMANNSGADE 2.;DK;1604;KØBENHAVN V;33152509;5790000609031;1126@RBA-DK.DK
841132-4;32677150;86;5;SHELL FREDERIKSBORGVEJ;LEFRE ENERGI APS.;FREDERIKSBORGVEJ 53;DK;2400;KØBENHAVN NV;38103406;5790000609048;1132@RBA-DK.DK
